,x,y,prop
208,-1,9,4.581142000000003
209,-1,10,3.7102480000000018
210,0,-10,4.488896000000004
211,0,-9,4.447060000000004
212,0,-8,3.6253960000000025
213,0,-7,3.600132000000002
214,0,-6,3.534624000000002
215,0,-5,3.600132000000002
216,0,-4,3.3934500000000027
217,0,-3,3.6030900000000026
218,0,-2,3.498270000000003
219,0,-1,3.550680000000002
220,0,0,3.5715160000000026
221,0,1,3.9260480000000024
222,0,2,4.176694000000003
223,0,3,4.197166000000004
224,0,4,4.108854000000004
225,0,5,3.966178000000004
226,0,6,4.095246000000004
227,0,7,3.680894000000003
228,0,8,4.173756000000004
229,0,9,4.431608000000003
230,0,10,3.865192000000002
231,1,-10,4.544500000000005
232,1,-9,4.459460000000004
233,1,-8,3.655500000000002
234,1,-7,3.655500000000002
235,1,-6,3.6176760000000026
236,1,-5,3.6030900000000026
237,1,-4,3.3410400000000027
238,1,-3,3.6030900000000026
239,1,-2,3.498270000000003
240,1,-1,3.498270000000003
241,1,0,3.3934500000000027
242,1,1,3.496990000000003
243,1,2,3.998152000000003
244,1,3,4.132632000000004
245,1,4,3.874496000000004
246,1,5,4.0680980000000035
247,1,6,3.939030000000004
248,1,7,3.809962000000003
249,1,8,3.928648000000003
250,1,9,4.114244000000003
251,1,10,3.9640840000000024
252,2,-10,1.714478
253,2,-9,4.129934000000003
254,2,-8,3.655500000000002
255,2,-7,3.655500000000002
256,2,-6,3.655500000000002
257,2,-5,3.550680000000002
258,2,-4,3.498270000000003
259,2,-3,3.445860000000003
260,2,-2,3.3934500000000027
261,2,-1,3.288630000000002
262,2,0,3.288630000000002
263,2,1,3.392170000000002
264,2,2,3.9070740000000024
265,2,3,3.874496000000004
266,2,4,4.0680980000000035
267,2,5,3.745428000000004
268,2,6,4.003564000000004
269,2,7,3.809962000000003
270,2,8,3.778466000000003
271,2,9,4.106424000000003
272,2,10,3.558484400000002
273,3,-10,1.8898979999999996
274,3,-9,2.571330000000002
275,3,-8,3.6164900000000024
276,3,-7,3.655500000000002
277,3,-6,3.655500000000002
278,3,-5,3.655500000000002
279,3,-4,3.655500000000002
280,3,-3,3.655500000000002
281,3,-2,3.3410400000000027
282,3,-1,3.236220000000003
283,3,0,3.5213380000000027
284,3,1,3.4663760000000026
285,3,2,3.6684760000000023
286,3,3,3.744838000000004
287,3,4,3.809962000000003
288,3,5,3.680304000000004
289,3,6,4.003564000000004
290,3,7,3.745428000000004
291,3,8,3.994644000000003
292,3,9,4.097800000000003
293,3,10,3.293558000000002
294,4,-10,1.8993659999999997
295,4,-9,1.2776000000000003
296,4,-8,3.1608280000000013
297,4,-7,3.5228660000000023
298,4,-6,3.639896000000002
299,4,-5,3.5867240000000025
300,4,-4,3.5867240000000025
301,4,-3,3.655500000000002
302,4,-2,3.468928000000003
303,4,-1,3.509804000000003
304,4,0,3.5213380000000027
305,4,1,3.6072340000000023
306,4,2,3.849280000000003
307,4,3,3.8739060000000034
308,4,4,3.7442480000000034
309,4,5,3.809962000000003
310,4,6,3.487292000000003
311,4,7,3.2291560000000032
312,4,8,3.2202360000000025
313,4,9,2.835812800000001
314,4,10,2.7578904000000004
315,5,-10,1.6675000000000006
316,5,-9,1.6675000000000006
