,x,y,prop
159,-3,2,0.8481579864410089
160,-3,3,0.8455570718318092
161,-3,4,0.851293327621976
162,-3,5,0.8234514182743109
163,-3,6,0.7848621304889015
164,-3,7,0.7734499224749556
165,-3,8,0.8532438142222304
166,-3,9,0.850223174308376
167,-3,10,0.67570251564354
168,-2,-10,0.7612362220862069
169,-2,-9,0.7591505630195559
170,-2,-8,0.7781922096819407
171,-2,-7,0.8040291114803292
172,-2,-6,0.7853152380879012
173,-2,-5,0.8093081696831632
174,-2,-4,0.807556233647874
175,-2,-3,0.810453622928473
176,-2,-2,0.803774300260441
177,-2,-1,0.811255971226981
178,-2,0,0.8092042782679165
179,-2,1,0.8358987922051943
180,-2,2,0.8410815512576856
181,-2,3,0.8403051255994268
182,-2,4,0.8468040021289294
183,-2,5,0.8302285613934555
184,-2,6,0.8375315239368004
185,-2,7,0.7725058566335754
186,-2,8,0.8532438142222304
187,-2,9,0.8532438142222304
188,-2,10,0.7056024657455927
189,-1,-10,0.7900988538963567
190,-1,-9,0.8096509711499121
191,-1,-8,0.8342436884664457
192,-1,-7,0.8002657415869792
193,-1,-6,0.800993049384746
194,-1,-5,0.8025198639178125
195,-1,-4,0.7962926292939013
196,-1,-3,0.7984287681801555
197,-1,-2,0.8043057425496797
198,-1,-1,0.7984287681801555
199,-1,0,0.7979300206688652
200,-1,1,0.7871287140085953
201,-1,2,0.8411635878227098
202,-1,3,0.8390814629856753
203,-1,4,0.8452074193510191
204,-1,5,0.8203967156618038
205,-1,6,0.8234383226605978
206,-1,7,0.8018446355806891
207,-1,8,0.8554331322555321
208,-1,9,0.8543502579394512
209,-1,10,0.8458103595982727
210,0,-10,0.8134714778380981
211,0,-9,0.8226357622286574
212,0,-8,0.8098152807586219
213,0,-7,0.8050741482516096
214,0,-6,0.8000406200847563
215,0,-5,0.8050741482516096
216,0,-4,0.7954902809953934
217,0,-3,0.8072442297344418
218,0,-2,0.8013672553649175
219,0,-1,0.8043057425496797
220,0,0,0.8033082475270988
221,0,1,0.7917830568844403
222,0,2,0.824047123606813
223,0,3,0.8374227523394399
224,0,4,0.8340548370203286
225,0,5,0.8278589565358655
226,0,6,0.8349677073382467
227,0,7,0.808987749129915
228,0,8,0.8321569681877721
